asin,title,author,rating,reviews,url,description
9356060134,"C++ Programming Language, 4e",by Bjarne Stroustrup | 31 May 2022,4.3 out of 5 stars,(310),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDE2MTQwNzgzODMzODc4OjE3NzYxODQ4NTM6c3BfYXRmOjMwMDA1MzQ4MjQ4NTYzMjo6MDo6&url=%2FC-Programming-Language-Fourth-Pearson%2Fdp%2F9356060134%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0%26dib_tag%3Dse%26keywords%3Dc%252B%252B%2Bbooks%26qid%3D1776184853%26sr%3D8-1-spons%26aref%3DElp2gMkPhN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Elp2gMkPhN&sp_cr=ZAZ,"The definitive book on C++ by the creator of C++, The C++ Programming Language teaches one of the most widely-used, general-purpose programming languages. At an advanced pace this book teaches how to work with compilers updated for the new standard. Students heading toward domains where mid-size to large applications are being developed - networking, finance, graphics, and games - will find this book an excellent learning tool.

Features

1.) Makes C++11 thoroughly accessible to programmers moving from C++98 or other languages, while introducing insights and techniques that even cutting-edge C++11 programmers will find indispensable

2.)New C++11 includes support for concurrency, regular expressions, general and uniform initialization, lambdas, compatibility issues, and much more

3.)This book features an enhanced, layflat binding, which allows the book to stay open more easily when placed on flat surface and increases durability"
8131729346,Programming in C - A Practical Approach,by Ajay Mittal | 1 January 2010,4.4 out of 5 stars,(158),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDE2MTQwNzgzODMzODc4OjE3NzYxODQ4NTM6c3BfYXRmOjMwMDU4MzQ1MDc3MjgzMjo6MDo6&url=%2FProgramming-C-Ajay-Mittal%2Fdp%2F8131729346%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0%26dib_tag%3Dse%26keywords%3Dc%252B%252B%2Bbooks%26qid%3D1776184853%26sr%3D8-2-spons%26aref%3DLcOsEszCHK%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=LcOsEszCHK&sp_cr=ZAZ,Printed Books
9389949181,Object Oriented Programming with C++ | 8th Edition | E Balagurusamy | 150+ MCQs | 100+ Dry Run Exercises | 90+ Interview Questions | ANSI C++,by E Balagurusamy | 24 September 2020,4.4 out of 5 stars,(1K),https://www.amazon.in/Programming-Balagurusamy-Exercises-Interview-Questions/dp/9389949181/ref=sr_1_3?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-3,"Object-oriented programming with C++, 8th edition is here with some valuable updates. The new edition helps students to assess their learning by answering questions based on learning outcomes. Objective-type questions and dry-run questions are introduced to make students exam ready. A new appendix on interview questions is for those seeking to join the industry. The book is designed for students studying at the undergraduate level. It provides all-inclusive concepts and programs on object-oriented programming with C++ as an implementation language.
highlights:
150+ multi-choice questions
100+ dry-run exercises
90+ interview questions
Two new projects
New appendix on implementation of abstract data types
classification of review questions on OBE (outcome-based education) learning pattern
All programs upgraded for compatibility with ansi C++
."
B0BHDGL198,C++ for Beginners : A Step-by-Step Guide on C++ Programming Language Fundamentals with Practical Explanations (2022 Crash Course for All),by Bud Tenny | 3 October 2022,3.6 out of 5 stars,(21),https://www.amazon.in/Beginners-Step-Step-Fundamentals-Explanations/dp/B0BHDGL198/ref=sr_1_4?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-4,"Are you not convinced you'll be able to learn a coding language? Concerned that it would be too difficult or that you will choose the incorrect coding language? Some of the fascinating things we will cover in this C++ language manual include: A look at the history of the C++ programming language and how we might use it for our programming requirements.An investigation on writing our first C++ programs, whether we are professionals or beginners.The most crucial sections of the code, as well as the fundamentals of understanding the syntax of our scripts in this language. And more, much more!... Are You Prepared to Learn C++? Scroll to the top of the page and click the ""Buy Now"" button."
9356060134,"C++ Programming Language, 4e",by Bjarne Stroustrup | 31 May 2022,4.3 out of 5 stars,(310),https://www.amazon.in/C-Programming-Language-Fourth-Pearson/dp/9356060134/ref=sr_1_5?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-5,"The definitive book on C++ by the creator of C++, The C++ Programming Language teaches one of the most widely-used, general-purpose programming languages. At an advanced pace this book teaches how to work with compilers updated for the new standard. Students heading toward domains where mid-size to large applications are being developed - networking, finance, graphics, and games - will find this book an excellent learning tool.

Features

1.) Makes C++11 thoroughly accessible to programmers moving from C++98 or other languages, while introducing insights and techniques that even cutting-edge C++11 programmers will find indispensable

2.)New C++11 includes support for concurrency, regular expressions, general and uniform initialization, lambdas, compatibility issues, and much more

3.)This book features an enhanced, layflat binding, which allows the book to stay open more easily when placed on flat surface and increases durability"
9388176642,Let Us C++,by Yashavant Kanetkar | 16 September 2020,4.2 out of 5 stars,(647),https://www.amazon.in/Let-Us-C-Kanetkar-Yashavant/dp/9388176642/ref=sr_1_6?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-6,Printed Books
9351109054,EFFECTIVE MODERN C++,by Scott Meyers | 1 December 2014,4.7 out of 5 stars,(530),https://www.amazon.in/EFFECTIVE-MODERN-C-Scott-Meyers/dp/9351109054/ref=sr_1_7?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-7,"All Indian Reprints of O'Reilly are printed in Grayscale.

Coming to grips with C++11 and C++14 is more than a matter of familiarizing yourself with the features they introduce (e.g., auto type declarations, move semantics, lambda expressionsand concurrency support). The challenge is learning to use those features effectively—so that your software is correct, efficient, maintainableand portable. That’s where this practical book comes in. It describes how to write truly great software using C++11 and C++14—i.e. using modern C++.

Topics include:

The pros and cons of braced initialization, noexcept specifications, perfect forwardingand smart pointer make functions
The relationships among std::move, std::forward, rvalue referencesand universal references
Techniques for writing clear, correct, effective lambda expressions
How std::atomic differs from volatile, how each should be usedand how they relate to C++'s concurrency API
How best practices in """"old"""" C++ programming (i.e., C++98) require revision for software development in modern C++
Effective Modern C++ follows the proven guideline-based, example-driven format of Scott Meyers' earlier books, but covers entirely new material."
9354979467,Object Oriented Programming with C++,by Reema Thareja | 6 March 2025,4.7 out of 5 stars,(4),https://www.amazon.in/Object-Oriented-Programming-Reema-Thareja/dp/9354979467/ref=sr_1_8?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-8,"The second edition of Object Oriented Programming with C++ is meticulously crafted to cater to the needs of undergraduate students pursuing computer science engineering, information technology, and postgraduate students of computer applications. The primary objective is to cultivate proficient programming skills through a comprehensive understanding of C++ programming concepts and their practical applications. Structured in a logical sequence, the book initiates with an introduction to programming and problem-solving, object-oriented programming, and C++ fundamentals. Subsequent chapters delve into essential topics such as control structures, functions, arrays, strings, pointers, structures, unions, and enumerations. Moreover, advanced concepts including classes, objects, constructors, destructors, operator overloading, inheritance, polymorphism, templates, generics, and exception handling are thoroughly elucidated. Furthermore, the book extensively covers the Standard Template Library (STL) and delves into the intricacies of object-oriented analysis, design, and development. Annexures appended to various chapters (can be accessed with the help of QR codes) offer supplementary insights on topics like user-defined header files, pointers, bit-fields, volatile and restrict qualifiers, as well as smart pointers."
B0GK1H6SCD,Programming With C & C++ B.Com I-Year II-Sem (Computer Applications) As Per the Latest O.U (2025-26) CBCS Syllabus (Including LAB Practical with Solutions) Latest 2026 Edition,by SIA Team Of Experts | 26 January 2026,,,https://www.amazon.in/Programming-Applications-Including-Practical-Solutions/dp/B0GK1H6SCD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-9,Complete Syllabus Covered for: OU * Also Useful for: KU | MGU | PU | TU | SU |
007053246X,"C++: The Complete Reference, 4th Edition",by Herbert Schildt | 1 July 2017,4.4 out of 5 stars,(756),https://www.amazon.in/C-Complete-Reference-Herbert-Schildt/dp/007053246X/ref=sr_1_10?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-10,"Genius Herb Schildt covers everything from keywords, syntax, and libraries, to advanced features such as overloading, inheritance, virtual functions, namespaces, templates, and RTTI, plus, a complete description of the Standard Template Library (STL)."
