asin,title,author,rating,reviews,url,description
9389328810,Selenium with Python – A Beginner’s Guide,by Pallavi R Sharma | 1 January 2019,3.7 out of 5 stars,(35),https://www.amazon.in/Selenium-Python-Beginners-Pallavi-Sharma/dp/9389328810/ref=sr_1_1?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-1,Reading books is a kind of enjoyment. Reading books is a good habit. We bring you a different kinds of books. You can carry this book where ever you want. It is easy to carry. It can be an ideal gift to yourself and to your loved ones. Care instruction keep away from fire.
B0GGC7L56Q,"Selenium with python mastery 2026: Step-by-Step Strategies to Master Browser Automation, Testing, and Scripting with Python",by Samantha Raynor | 12 January 2026,,,https://www.amazon.in/Selenium-python-mastery-Step-Step/dp/B0GGC7L56Q/ref=sr_1_2?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-2,"This book will only be available for a short time. I just need 10 serious readers to grab it before I take it down to revise for private release. Be one of the few.

Take full control of browser automation and web testing with Selenium with Python Master a comprehensive guide for mastering one of the most in-demand skills in software development and QA today. Whether you're automating tasks, testing web applications, or building scalable testing frameworks, this book gives you the practical knowledge and tools to do it efficiently using Python.

What's Inside:
- A complete breakdown of Selenium's architecture and Python integration
- How to set up and configure Selenium WebDriver across major browsers
- Techniques for locating and interacting with web elements dynamically
- Writing robust, maintainable test scripts with unittest and pytest
- Handling waits, alerts, frames, and multiple tabs or windows
- Advanced automation strategies including headless browsing and CI/CD integration
- Real-world projects and exercises to reinforce your learning

Who This Book Is For:
Ideal for Python developers, QA testers, DevOps professionals, and beginners looking to break into automation testing. Also great for students or freelancers who want to streamline web tasks or validate apps efficiently.

Why You Should Get This Book:
Automation is a core skill in 2026's fast-paced tech landscape. This book equips you with job-ready Selenium skills and Python scripting techniques that save time, reduce errors, and increase productivity making you a more valuable and efficient developer or tester."
1649831021,Easy and Quick Python Programming for Kids,by Mahesh Sambhaji Jadhav | 30 July 2020,3.7 out of 5 stars,(68),https://www.amazon.in/Easy-Quick-Python-Programming-Kids/dp/1649831021/ref=sr_1_3?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-3,Fun and friendly way of programming for kidsSimple to understand format is specialty of the book.Learn latest Python 3 programming concepts Python programming syntax explained with images.Lots of real-life programs along with output screenshot.Logic box explains logic of each program.Best book to prepare for School and college exams
9387572943,Python: The Complete Reference,by Martin C. Brown | 20 March 2018,4.2 out of 5 stars,(731),https://www.amazon.in/Python-Complete-Reference-Martin-Brown/dp/9387572943/ref=sr_1_4?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-4,"Explore all aspects of programming with Python in this comprehensive resource. Expert programmer Martin Brown guides you from the fundamentals of using modules through the use of advanced objectorientation classes. Salient Features:1 Learn how to develop complex applications, create multimedia software, and develop interactive Web sites. 2 While written with the experienced programmer in mind, it is an invaluable source-book for the beginning programmer as well. 3 The book also covers how to utilize Python?s extensive libraries, including tools for reading and parsing SGML, HTML, and XML files."
8194136334,PYTHON PROGRAMMING O LEVEL MODULE M3(M3-R5) BILINGUAL BOOK (ENGLISH-HINDI),Multilingual Edition | by P K PANDEY | 15 February 2020,4.1 out of 5 stars,(256),https://www.amazon.in/PYTHON-PROGRAMMING-MODULE-BILINGUAL-ENGLISH-HINDI/dp/8194136334/ref=sr_1_5?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-5,Explore wide range of PYTHON PROGRAMMING O LEVEL MODULE M3(M3-R5) BILINGUAL BOOK (ENGLISH-HINDI) available on Amazon.
938605230X,"Core Python Programming, 2ed",by R. Nageswara Rao | 1 January 2018,4.5 out of 5 stars,(1.7K),https://www.amazon.in/Core-Python-Programming-Nageswara-Rao/dp/938605230X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-6,"At present, Java occupies number 1 rank as the most used programming language since almost all the projects are developed in Java. Python is already occupying 2nd to 4th position and will be the most demanded language after Java in near future. Python is used with other programming languages on Internet as well as for developing standalone applications. Python programmers are paid high salaries in the software development industry. Hence, it is time for beginners as well as existing programmers to focus their attention on Python."
9368086346,"Test-Driven Development with Python: Obey the Testing Goat-Using Django, Selenium, and JavaScript, Third Edition (Grayscale Indian Reprint)",by Harry J.W. Percival | 11 November 2025,4.7 out of 5 stars,(4),https://www.amazon.in/Test-Driven-Development-Python-Goat-Using-JavaScript/dp/9368086346/ref=sr_1_7?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-7,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs. All Indian Reprints of O'Reilly are Printed in Grayscale.

The third edition of this trusted guide shows you how to apply test-driven development (TDD) to building real-world web applications with Python. By writing tests before building each part of your app—and then creating just enough code to pass them—you'll learn how TDD leads to clean, reliable, and maintainable software.

Author Harry J.W. Percival takes you through a practical, end-to-end example of web development using Python 3.14 and Django 5. Along the way, you'll explore tools like Selenium, JavaScript, Git, and mocking, and discover how TDD supports better design decisions, encourages continuous improvement, and instills confidence in your codebase. Whether you're a professional developer or just transitioning into web development, this book offers hands-on experience with modern testing workflows and architecture.

Follow the full TDD workflow, from writing tests first to refactoring with confidence
Write unit tests for core logic and functional tests for browser-based interactions
Use mock objects to isolate external systems and simplify integration
Package your application using Docker
Automate deployments and test your code in a staging environment
Validate third-party plug-ins and dependencies within your test suite
Set up continuous integration to run your tests automatically
Enrich your frontend with test-driven JavaScript"
9355518358,Selenium and Appium with Python,by Yogashiva Mathivanan | 16 May 2023,3.7 out of 5 stars,(17),https://www.amazon.in/Selenium-Appium-Python-automation-frameworks/dp/9355518358/ref=sr_1_8?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-8,"Learn how to run automated tests on web and mobile apps efficiently

Description
Appium and Selenium are popular open-source frameworks widely used for test automation in the software industry. Python, on the other hand, is a versatile and powerful programming language known for its simplicity and readability. Combining Appium and Selenium with Python offers numerous advantages for test automation, including a simplified testing process, faster test execution, and increased efficiency in test script development.

Written by a Test Automation Architect, this book aims to enhance your knowledge of Selenium and Appium automation tools. The book will help you learn how to leverage Python for test automation development, gaining skills to automate various types of elements, actions, gestures, and more in web and mobile applications, including Android and IOS. Furthermore, the book will help you create a robust and maintainable test automation framework from scratch. Lastly, the book will teach you how to utilize Selenium Grid with Docker to run and distribute tests across multiple machines, enabling you to maximize efficiency and productivity in test automation.

By the end of the book, you will be able to build effective and scalable automated testing solutions using Python.

What you will learn
● Learn how to automate web testing with Selenium and Python.
● Learn how to automate Mobile testing with appium and Python.
● Learn how to handle exceptions and synchronization for web and mobile apps.
● Learn how to automate Hybrid apps using Selenium and Appium.
● Learn how to integrate Selenium Grid with Docker.

Who this book is for
This book is for Software Quality Assurance, including Test Automation Engineers, Product Owners, and Developers who are looking to enhance their test automation skills."
1783983507,Learning Selenium Testing Tools with Python,by Unmesh Gundecha | 30 December 2014,4.2 out of 5 stars,(27),https://www.amazon.in/Learning-Selenium-Testing-Tools-Python/dp/1783983507/ref=sr_1_9?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-9,"If you are a quality testing professional, or a software or web application developer looking to create automation test scripts for your web applications, with an interest in Python, then this is the perfect guide for you. Python developers who need to do Selenium testing need not learn Java, as they can directly use Selenium for testing with this book."
9351198146,Learning with Python,"by Allen Downey , Jeffrey Elkner, et al. | 1 January 2015",4.2 out of 5 stars,(493),https://www.amazon.in/Learning-Python-Allen-Downey/dp/9351198146/ref=sr_1_10?dib=eyJ2IjoiMSJ9.gUHO0q0edJtycYgEA9OG2OZ7V0fqL0kAd3xPSzgurx0Up-Vz8kDQ5fbIZkbfxi6WpyWNt3s7nNdaKT3Ktw_BiNRBRhA3OL2CqLBay2CHTClreIe6oxepvZc9gk8F9eHbM-ONLoF2MVrCUw90C4vBnX_ksLb10m5WV0iTmjuJ8cPdCcRol6KatT4gygzbA5hOMdAXTvEKSky8yYRIhaIExY97SIjyQRD6FGdHmhcwxIA.BgKlW72mmMFmkdslvGD-fudGjGUS1lv-PA4j8661p-U&dib_tag=se&keywords=selenium+python+programming+book&qid=1776184884&sr=8-10,"The book is designed to introduce the important concepts of Python programming language in detail. The reader will be able to develop and execute the programs in Python. This book will also help the readers to learn about Functions, Recursion, Iterative Statements, Strings, Lists, Tuples, Dictionaries, Files and Exceptions, Classes and Objects, Methods, Inheritance, Linked Lists, Stacks, Queues and Trees."
